		Astrodon Photometrics  Johnson/Cousins Filters															
Wavelength (nm)	UV	B	V	Rc	Ic												
655	9.85E-06	7.34E-06	0.323143333	80.64248657	0.000846703
656	6.80E-06	9.84E-06	0.249143437	79.92186737	0.000886801
657	1.14E-05	2.79E-05	0.19216758	79.13422394	0.000937896
658	1.79E-05	3.00E-05	0.148854569	78.31720734	0.001015354
659	1.17E-05	3.44E-05	0.11564526	77.51441956	0.001129871
660	1.04E-05	3.35E-05	0.08982937	76.6947403	0.001276157
661	1.13E-05	3.81E-05	0.069318578	75.90869904	0.001445658
662	1.61E-05	1.51E-05	0.053469289	75.13604736	0.001706982
663	1.38E-05	3.72E-05	0.041494247	74.35227966	0.002025126
664	1.68E-05	2.40E-05	0.03165539	73.58377838	0.002468544
665	2.26E-05	4.26E-05	0.024211943	72.78135681	0.00307292 
666	1.28E-05	2.49E-05	0.018542703	71.98836517	0.003892643
667	1.12E-05	8.05E-05	0.014114695	71.1654129	0.004983354
668	1.64E-05	0.000160355	0.010663682	70.42684937	0.006444908
669	7.38E-06	0.000313354	0.00820945	69.74932861	0.008258906
670	1.09E-05	0.000245636	0.006185818	69.1730423	0.010396788
671	1.41E-05	0.000206573	0.004833605	68.73293304	0.012750368
672	1.41E-05	0.000185509	0.003684956	68.3727417	0.014950195
673	1.93E-05	0.000115136	0.003013295	68.17287445	0.016704775
674	1.81E-05	0.000104145	0.002250577	68.04695129	0.017764404
675	1.10E-05	5.40E-05	0.001820239	68.00931549	0.018183943
676	1.02E-05	7.74E-05	0.001439692	68.03824615	0.018215653
677	2.19E-05	5.70E-05	0.001230032	68.00106049	0.018016797
678	1.42E-05	7.90E-05	0.00094669	67.98065186	0.017927226
679	4.99E-06	0.000122888	0.000785946	67.93052673	0.017987235
680	1.83E-05	0.000183567	0.000746096	67.84414673	0.018229116
681	1.42E-05	0.000379497	0.000520484	67.67256165	0.01894643 
682	8.94E-06	0.000524695	0.000381905	67.4910965	0.019930433
683	1.90E-06	0.000354347	0.00038554	67.25843811	0.021468274
684	1.73E-05	0.000240048	0.000362731	66.94816589	0.023561139
685	1.33E-05	0.00011876	0.00029961	66.65655518	0.026248856
686	8.90E-06	0.000119679	0.000326764	66.30897522	0.030009724
687	2.15E-05	0.000102731	0.000252774	65.87913513	0.034769397
688	1.71E-05	5.51E-05	0.000218101	65.38233948	0.041160874
